NTID,Host IP,Host Name,Date and Time
lhstracener,10.247.159.26,ms-svr-46569,Feb 21 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Feb 21 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Feb 21 2012 08:00:00
lhstracener,10.208.63.35,msws-42322,Feb 21 2012 10:00:00
lhstracener,10.136.89.129,unxws-24887,Feb 22 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Feb 26 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Mar 03 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Mar 04 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Mar 06 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Mar 06 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Mar 06 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,Mar 06 2012 08:00:00
lhstracener,10.136.89.129,unxws-24887,Mar 12 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Mar 12 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Mar 12 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Mar 13 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Mar 15 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Mar 17 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Mar 18 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Mar 21 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Mar 21 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Mar 21 2012 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Mar 22 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Mar 23 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Mar 26 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Mar 29 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Mar 30 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Apr 01 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Apr 01 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Apr 01 2012 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Apr 01 2012 08:00:00
lhstracener,10.36.181.0,unxws-86572,Apr 03 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Apr 09 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Apr 10 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Apr 10 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Apr 10 2012 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Apr 15 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Apr 16 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Apr 17 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Apr 17 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Apr 17 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,Apr 17 2012 08:00:00
lhstracener,10.50.169.133,lnxws-29010,Apr 18 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Apr 21 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Apr 22 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Apr 22 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Apr 22 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Apr 24 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Apr 25 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Apr 26 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Apr 26 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Apr 27 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Apr 27 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Apr 27 2012 06:00:00
lhstracener,10.136.89.129,unxws-24887,Apr 30 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Apr 30 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,May 01 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,May 01 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,May 01 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,May 01 2012 08:00:00
lhstracener,10.36.181.0,unxws-86572,May 03 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,May 05 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,May 06 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,May 08 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,May 13 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,May 13 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,May 14 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,May 17 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,May 19 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,May 20 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,May 20 2012 04:00:00
lhstracener,10.247.159.26,ms-svr-46569,May 20 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,May 20 2012 08:00:00
lhstracener,10.36.181.0,unxws-86572,May 21 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,May 24 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,May 25 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,May 26 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,May 27 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,May 30 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,May 30 2012 04:00:00
lhstracener,10.247.159.26,ms-svr-46569,May 30 2012 06:00:00
lhstracener,10.136.89.129,unxws-24887,May 30 2012 08:00:00
lhstracener,10.50.169.133,lnxws-29010,May 30 2012 10:00:00
lhstracener,10.50.169.133,lnxws-29010,Jun 01 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jun 01 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Jun 01 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,Jun 01 2012 08:00:00
lhstracener,10.208.63.35,msws-42322,Jun 01 2012 10:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 02 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jun 05 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 08 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 08 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 08 2012 06:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 08 2012 08:00:00
lhstracener,10.208.63.35,msws-42322,Jun 09 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jun 09 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Jun 09 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,Jun 09 2012 08:00:00
lhstracener,10.36.181.0,unxws-86572,Jun 11 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jun 13 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 15 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 15 2012 04:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jun 15 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Jun 15 2012 08:00:00
lhstracener,10.50.169.133,lnxws-29010,Jun 16 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 19 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jun 22 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jun 23 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jun 23 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Jun 23 2012 06:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 24 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jun 24 2012 04:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jun 25 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jun 28 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 28 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Jun 28 2012 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jun 28 2012 08:00:00
lhstracener,10.136.89.129,unxws-24887,Jun 29 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jun 30 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 01 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Jul 01 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Jul 01 2012 06:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 01 2012 08:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jul 03 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Jul 03 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Jul 03 2012 06:00:00
lhstracener,10.36.181.0,unxws-86572,Jul 04 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jul 07 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jul 07 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Jul 09 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Jul 10 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 10 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 10 2012 06:00:00
lhstracener,10.36.181.0,unxws-86572,Jul 15 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 17 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jul 20 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 20 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Jul 21 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 21 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Jul 24 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jul 25 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 26 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jul 27 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Jul 27 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Jul 27 2012 06:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 31 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jul 31 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Jul 31 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Jul 31 2012 08:00:00
lhstracener,10.208.63.35,msws-42322,Jul 31 2012 10:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 01 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Aug 02 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Aug 02 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Aug 02 2012 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 03 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Aug 05 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 07 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Aug 09 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Aug 13 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 15 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Aug 18 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Aug 18 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Aug 18 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,Aug 19 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 19 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Aug 19 2012 06:00:00
lhstracener,10.36.181.0,unxws-86572,Aug 19 2012 08:00:00
lhstracener,10.136.89.129,unxws-24887,Aug 19 2012 10:00:00
lhstracener,10.208.63.35,msws-42322,Aug 20 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 23 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Aug 23 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Aug 23 2012 06:00:00
lhstracener,10.36.181.0,unxws-86572,Aug 27 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Aug 27 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Aug 27 2012 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 29 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 30 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Aug 31 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Sep 04 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Sep 14 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Sep 15 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Sep 15 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Sep 15 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,Sep 19 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Sep 20 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Sep 20 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Sep 20 2012 06:00:00
lhstracener,10.136.89.129,unxws-24887,Sep 25 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Sep 25 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 06 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Oct 07 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 08 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Oct 09 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 11 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 11 2012 04:00:00
lhstracener,10.247.159.26,ms-svr-46569,Oct 13 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Oct 14 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Oct 17 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Oct 18 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Oct 18 2012 04:00:00
lhstracener,10.247.159.26,ms-svr-46569,Oct 20 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Oct 21 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Oct 22 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Oct 22 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Oct 23 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Oct 24 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Oct 24 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 24 2012 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Oct 24 2012 08:00:00
lhstracener,10.208.63.35,msws-42322,Oct 24 2012 10:00:00
lhstracener,10.36.181.0,unxws-86572,Oct 25 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 26 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Oct 26 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Oct 26 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,Oct 26 2012 08:00:00
lhstracener,10.50.169.133,lnxws-29010,Oct 28 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 28 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 28 2012 06:00:00
lhstracener,10.136.89.129,unxws-24887,Oct 29 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Oct 30 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Oct 31 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Oct 31 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Oct 31 2012 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Oct 31 2012 08:00:00
lhstracener,10.247.159.26,ms-svr-46569,Oct 31 2012 10:00:00
lhstracener,10.208.63.35,msws-42322,Nov 02 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Nov 02 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Nov 02 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Nov 04 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Nov 04 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Nov 04 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Nov 05 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Nov 05 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Nov 05 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Nov 05 2012 08:00:00
lhstracener,10.247.159.26,ms-svr-46569,Nov 05 2012 10:00:00
lhstracener,10.208.63.35,msws-42322,Nov 09 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Nov 11 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Nov 11 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Nov 11 2012 06:00:00
lhstracener,10.36.181.0,unxws-86572,Nov 11 2012 08:00:00
lhstracener,10.208.63.35,msws-42322,Nov 13 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Nov 14 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Nov 14 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Nov 14 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Nov 14 2012 08:00:00
lhstracener,10.247.159.26,ms-svr-46569,Nov 14 2012 10:00:00
lhstracener,10.208.63.35,msws-42322,Nov 17 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Nov 22 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Nov 23 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Nov 23 2012 04:00:00
lhstracener,10.36.181.0,unxws-86572,Nov 24 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Nov 29 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Nov 29 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Nov 29 2012 06:00:00
lhstracener,10.36.181.0,unxws-86572,Nov 29 2012 08:00:00
lhstracener,10.136.89.129,unxws-24887,Nov 29 2012 10:00:00
lhstracener,10.247.159.26,ms-svr-46569,Dec 01 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Dec 02 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Dec 04 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Dec 07 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Dec 08 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Dec 14 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Dec 19 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Dec 21 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Dec 25 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 04 2013 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jan 05 2013 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 09 2013 02:00:00
lhstracener,10.208.63.35,msws-42322,Jan 09 2013 04:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 09 2013 06:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jan 09 2013 08:00:00
lhstracener,10.36.181.0,unxws-86572,Jan 09 2013 10:00:00
lhstracener,10.36.181.0,unxws-86572,Jan 10 2013 02:00:00
lhstracener,10.208.63.35,msws-42322,Jan 16 2013 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 19 2013 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jan 24 2013 02:00:00
lhstracener,10.208.63.35,msws-42322,Jan 26 2013 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jan 26 2013 04:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 29 2013 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 29 2013 04:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 30 2013 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jan 31 2013 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 31 2013 04:00:00
lhstracener,10.36.181.0,unxws-86572,Feb 01 2013 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Feb 04 2013 02:00:00
lhstracener,10.36.181.0,unxws-86572,Feb 05 2013 02:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 01 2012 02:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 01 2012 04:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 01 2012 06:00:00
srtardie,10.216.85.15,msws-49912,Jan 02 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Jan 02 2012 04:00:00
srtardie,10.138.102.46,unxws-33883,Jan 02 2012 06:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 02 2012 08:00:00
srtardie,10.138.102.46,unxws-33883,Jan 02 2012 10:00:00
srtardie,10.216.85.15,msws-49912,Jan 03 2012 02:00:00
srtardie,10.216.85.15,msws-49912,Jan 04 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Jan 04 2012 04:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 04 2012 06:00:00
srtardie,10.216.85.15,msws-49912,Jan 04 2012 08:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 04 2012 10:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 05 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Jan 05 2012 04:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 06 2012 02:00:00
srtardie,10.216.85.15,msws-49912,Jan 06 2012 04:00:00
srtardie,10.138.102.46,unxws-33883,Jan 06 2012 06:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 06 2012 08:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 07 2012 02:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 07 2012 04:00:00
srtardie,10.216.85.15,msws-49912,Jan 07 2012 06:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 10 2012 02:00:00
srtardie,10.216.85.15,msws-49912,Jan 11 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Jan 11 2012 04:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 11 2012 06:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 12 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Jan 12 2012 04:00:00
srtardie,10.138.102.46,unxws-33883,Jan 12 2012 06:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 12 2012 08:00:00
srtardie,10.216.85.15,msws-49912,Jan 12 2012 10:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 15 2012 02:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 18 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Jan 18 2012 04:00:00
srtardie,10.216.85.15,msws-49912,Jan 18 2012 06:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 22 2012 02:00:00
srtardie,10.216.85.15,msws-49912,Jan 24 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Jan 24 2012 04:00:00
srtardie,10.216.85.15,msws-49912,Jan 24 2012 06:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 24 2012 08:00:00
srtardie,10.216.85.15,msws-49912,Jan 26 2012 02:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 26 2012 04:00:00
srtardie,10.216.85.15,msws-49912,Jan 28 2012 02:00:00
srtardie,10.131.102.168,lnxws-63777,Jan 28 2012 04:00:00
srtardie,10.138.102.46,unxws-33883,Jan 28 2012 06:00:00
srtardie,10.138.102.46,unxws-33883,Jan 30 2012 02:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 30 2012 04:00:00
srtardie,10.138.102.46,unxws-33883,Jan 30 2012 06:00:00
srtardie,10.216.85.15,msws-49912,Jan 30 2012 08:00:00
srtardie,10.192.243.111,lnxws-61128,Jan 30 2012 10:00:00
srtardie,10.216.85.15,msws-49912,Feb 04 2012 02:00:00
srtardie,10.216.85.15,msws-49912,Feb 06 2012 02:00:00
srtardie,10.131.102.168,lnxws-63777,Feb 06 2012 04:00:00
srtardie,10.131.102.168,lnxws-63777,Feb 11 2012 02:00:00
srtardie,10.192.243.111,lnxws-61128,Feb 11 2012 04:00:00
srtardie,10.216.85.15,msws-49912,Feb 17 2012 02:00:00
srtardie,10.131.102.168,lnxws-63777,Feb 17 2012 04:00:00
srtardie,10.138.102.46,unxws-33883,Feb 22 2012 02:00:00
srtardie,10.216.85.15,msws-49912,Feb 27 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Feb 29 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Mar 02 2012 02:00:00
srtardie,10.131.102.168,lnxws-63777,Mar 04 2012 02:00:00
srtardie,10.138.102.46,unxws-33883,Mar 04 2012 04:00:00
srtardie,10.138.102.46,unxws-33883,Mar 04 2012 06:00:00
srtardie,10.192.243.111,lnxws-61128,Mar 04 2012 08:00:00
srtardie,10.138.102.46,unxws-33883,Mar 05 2012 02:00:00
